question_clear,content_clear
отсутствует ярлык отпуск без сохранения з/п,"создайте, пожалуйста, обращение в ит поддержку на портале support"
"создана заявка на отпуск без сохранения заработной платы , в течении 30 минут происходит формирование документов на отправку на согласование руководителю","создайте, пожалуйста, обращение в ит поддержку на портале support"
при созданиие заявки в личном кабинете не формируются документы для отправки более 15 минут,"создайте, пожалуйста, обращение в ит поддержку на портале support"
не формируются докменты на отпуск,"создайте, пожалуйста, обращение в ит поддержку на портале support"
"не сформировались документы по процессу "" отпуск за свой счет"". соответственно заявка не сформировалась до конца.","создайте, пожалуйста, обращение в ит поддержку на портале support"
не формируются документы на отпуск без сохранения заработной платы,"создайте, пожалуйста, обращение в ит поддержку на портале support"
не формируется заявление по отпуску без сохранения з/п,"создайте, пожалуйста, обращение в ит поддержку на портале support"
непонятный статус заявки на перенос отпуска,"создайте, пожалуйста, обращение в ит поддержку на портале support"
у меня нет графы отпуск без сохранения заработной платы,"создайте, пожалуйста, обращение в ит поддержку на портале support"
при вложении документа выдает ошибку,"создайте, пожалуйста, обращение в ит поддержку на портале support"
прошу вернуть в работу задачу,"создайте, пожалуйста, обращение в ит поддержку на портале support"
я не могу вложить документ в заявку,"создайте, пожалуйста, обращение в ит поддержку на портале support"
"требуется переназначить, либо назначить исполнителя для задачи","создайте, пожалуйста, обращение в ит поддержку на портале support"
необходимо перенаправить заявки в личном кабинете,"создайте, пожалуйста, обращение в ит поддержку на портале support"
"у сотрудника тест сдан, в системе не отображается","создайте, пожалуйста, обращение в ит поддержку на портале support"
у заявки нет исполнителя,"создайте, пожалуйста, обращение в ит поддержку на портале support"
некорректный документ,"создайте, пожалуйста, обращение в ит поддержку на портале support"
зависла задача,"создайте, пожалуйста, обращение в ит поддержку на портале support"
адм не может участвовать в программе моя карьера на дм.ссыличный кабинета есть. отсутствует копка -хочу участвовать,"создайте, пожалуйста, обращение в ит поддержку на портале support"
"при увольнении сотрудника создали заявку на отзыв заявления на увольнение, после чего сотрудник не может никак зайти в личный кабинет. при проведении черновика заявки на прием ставка занята уже этим же самым сотрудником. в скиллаз статус создание заявки на прием","создайте, пожалуйста, обращение в ит поддержку на портале support"
"в личном кабинете в разделе ""задачи"" , ""передать в архив"" в задаче заявки нет вложения документов. а именно приказа.","создайте, пожалуйста, обращение в ит поддержку на портале support"
моя карьера стоит статус уволен у сотрудника,"создайте, пожалуйста, обращение в ит поддержку на портале support"
прошу закадровый резервыть заявку. уже не актуальна,"создайте, пожалуйста, обращение в ит поддержку на портале support"
ошибка учетной записи сотрудника,"создайте, пожалуйста, обращение в ит поддержку на портале support"
не то имя в личном кабинете,"создайте, пожалуйста, обращение в ит поддержку на портале support"
переназначить задачи,"создайте, пожалуйста, обращение в ит поддержку на портале support"
ошибка сетевого запроса,"создайте, пожалуйста, обращение в ит поддержку на портале support"
передача в архив,"создайте, пожалуйста, обращение в ит поддержку на портале support"
"не могу отправить документы на оформление , не активны кнопки","создайте, пожалуйста, обращение в ит поддержку на портале support"
заявки в личный кабинет,"создайте, пожалуйста, обращение в ит поддержку на портале support"
не нужен помошник,"создайте, пожалуйста, обращение в ит поддержку на портале support"
"написала заявление на бс,не загружается файл для подписи","создайте, пожалуйста, обращение в ит поддержку на портале support"
нужен логин и паротль на сотрудника,"при проблемах со входом в личный кабинет, прежде чем создавать заявку в поддержку, убедитесь, что заходите в лк на сайте link указываете актуальные и верные логин и пароль. если вам неизвестен логин, обратитесь к руководителю (дм), он сможет посмотреть ваш логин и сбросить пароль в веб-табеле. для самостоятельного сброса пароля позвоните с вашего мобильного телефона на phone, наберите добавочный номер 10100, нажмите * и подтвердите сброс пароля, нажав #. обновленный пароль отправляется по sms."
"нет возможности для участия в моей карьере, стоит статус сотрудник уволен, по факту сотрудник работает","создайте, пожалуйста, обращение в ит поддержку на портале support"
не могу проставить дату окончания срочного трудового договора,"создайте, пожалуйста, обращение в ит поддержку на портале support"
не приходят табельный номер по заявке (прием сотрудника) и не приходят документы на подписание,"создайте, пожалуйста, обращение в ит поддержку на портале support"
"исчезла заявка подписания документов, на скд так же нет, не можем передать документы на прием сотрудника","создайте, пожалуйста, обращение в ит поддержку на портале support"
не работает личный кабинет,"создайте, пожалуйста, обращение в ит поддержку на портале support"
"проблема в том,что сотрудник не может зайти в личный кабинет ,трудовой договор пароль от личный кабинет отправлен на другой (неверный номер)","кнопка ""изменить номер"" телефона находится в личном разделе в лк. если доступа к лк нет, для смены номера телефона, обратитесь в поддержку"
пк принята на работу повторно. у сотрудника в табеле и в личных данных почему то привязан другой номер телефона.создать заявку на изменение личных данных не могу-нет такой причины.не верно указан номер телефона-не можем прислать ей пороль от личного кабинета.,"создайте, пожалуйста, обращение в ит поддержку на портале support"
нет 5 ставки в личный кабинет,"создайте, пожалуйста, обращение в ит поддержку на портале support"
"в магазине 5 ставок продавца кассира прогружены в sap а вличном кабинете тображается только 4 ставки,необходимо прогрузить","создайте, пожалуйста, обращение в ит поддержку на портале support"
"не поступают заявки в работу, прошу настроить корректность их назначения. была делегирована роль в личный кабинет от менеджера по кадрам, но заявки не поступают.","создайте, пожалуйста, обращение в ит поддержку на портале support"
необходимо добавить шрифт который буквы преобразовывает в штрих код,"создайте, пожалуйста, обращение в ит поддержку на портале support"
не приходит пароль в смс,"при проблемах со входом в личный кабинет, прежде чем создавать заявку в поддержку, убедитесь, что заходите в лк на сайте link указываете актуальные и верные логин и пароль. если вам неизвестен логин, обратитесь к руководителю (дм), он сможет посмотреть ваш логин и сбросить пароль в веб-табеле. для самостоятельного сброса пароля позвоните с вашего мобильного телефона на phone, наберите добавочный номер 10100, нажмите * и подтвердите сброс пароля, нажав #. обновленный пароль отправляется по sms."
сотруднику не прислали логин и пароль от личного кабинета,"при проблемах со входом в личный кабинет, прежде чем создавать заявку в поддержку, убедитесь, что заходите в лк на сайте link указываете актуальные и верные логин и пароль. если вам неизвестен логин, обратитесь к руководителю (дм), он сможет посмотреть ваш логин и сбросить пароль в веб-табеле. для самостоятельного сброса пароля позвоните с вашего мобильного телефона на phone, наберите добавочный номер 10100, нажмите * и подтвердите сброс пароля, нажав #. обновленный пароль отправляется по sms."
новому сотруднику не пришли логин и пароль от личного кабинета,"при проблемах со входом в личный кабинет, прежде чем создавать заявку в поддержку, убедитесь, что заходите в лк на сайте link указываете актуальные и верные логин и пароль. если вам неизвестен логин, обратитесь к руководителю (дм), он сможет посмотреть ваш логин и сбросить пароль в веб-табеле. для самостоятельного сброса пароля позвоните с вашего мобильного телефона на phone, наберите добавочный номер 10100, нажмите * и подтвердите сброс пароля, нажав #. обновленный пароль отправляется по sms."
не корректно отображается график работы сотрудника\,"создайте, пожалуйста, обращение в ит поддержку на портале support"
в личном кабинете неверно указан график работы,"создайте, пожалуйста, обращение в ит поддержку на портале support"
отсутствует график работы в личном кабинете.,"создайте, пожалуйста, обращение в ит поддержку на портале support"
при формировании заявки на перенос отпуска согласование уходит некорректному согласующему,"создайте, пожалуйста, обращение в ит поддержку на портале support"
не подписывается электронной подписью заявление,"прежде чем создавать заявку, попробуйте самостоятельно выпустить эцп на странице ""электронные подписи"" в личном разделе лк. обратите внимание, что эпц перестает действовать за 3 дня до окончания ее срока действия. если вы проводите списание, то на этот период данный функционал будет недоступен. просьба учитывать при планировании работ."
"в личный кабинет есть задача передать в архив документы на трудоустройство, кнопка взять в работу не активна","просьба очистить кеш/куки с использованием клавиш ctrl + shift + delete. при появлении окошка с настройками в разделе ""за период"" выбрать ""за все время"". далее выйти с личного кабинета с использованием клавиши ""выход"" и авторизоваться повторно введя логин и пароль."
делегировать задачи,"создайте, пожалуйста, обращение в ит поддержку на портале support"
переадресовать заявка,"создайте, пожалуйста, обращение в ит поддержку на портале support"
не могу взять задачи в работу и перевести в статус выполнено в личный кабинет,"просьба очистить кеш/куки с использованием клавиш ctrl + shift + delete. при появлении окошка с настройками в разделе ""за период"" выбрать ""за все время"". далее выйти с личного кабинета с использованием клавиши ""выход"" и авторизоваться повторно введя логин и пароль."
не могу взять в работу заявки в личный кабинет,"просьба очистить кеш/куки с использованием клавиш ctrl + shift + delete. при появлении окошка с настройками в разделе ""за период"" выбрать ""за все время"". далее выйти с личного кабинета с использованием клавиши ""выход"" и авторизоваться повторно введя логин и пароль."
"заявка на оформление нового сотрудника не отправляется на доработрудовой договору специалисту, при отправке выходит сообщение специалиста, все доработрудовой договори и исправления были в заявке исправлены","создайте, пожалуйста, обращение в ит поддержку на портале support"
в личном кабинете не закадровый резервываются задачи,"создайте, пожалуйста, обращение в ит поддержку на портале support"
не зарываются задачи,"создайте, пожалуйста, обращение в ит поддержку на портале support"
"при выполнении задачи, выдает ошибку.","создайте, пожалуйста, обращение в ит поддержку на портале support"
задача не активна,"создайте, пожалуйста, обращение в ит поддержку на портале support"
для согласования отпуска необходимо назначить руководителя,"создайте, пожалуйста, обращение в ит поддержку на портале support"
"заявка завершена, но висит в незавершенных","создайте, пожалуйста, обращение в ит поддержку на портале support"
прошу отправить новый пароль сотруднику,"создайте, пожалуйста, обращение в ит поддержку на портале support"
не могу подписать документы в личном кабинете,"создайте, пожалуйста, обращение в ит поддержку на портале support"
дилегировать заявку,"создайте, пожалуйста, обращение в ит поддержку на портале support"
делегирование заявок инициатору,"создайте, пожалуйста, обращение в ит поддержку на портале support"
не привязывается скан документы,"создайте, пожалуйста, обращение в ит поддержку на портале support"
не отображается задача в личном кабинете. не можем подписать больничный лист сотрудника,"создайте, пожалуйста, обращение в ит поддержку на портале support"
не удаётся отправлять реестр документов в архив.,"создайте, пожалуйста, обращение в ит поддержку на портале support"
не могу согласовать заявку на перевод,"создайте, пожалуйста, обращение в ит поддержку на портале support"
переназначить заявку,"создайте, пожалуйста, обращение в ит поддержку на портале support"
не могу оформить прием,"создайте, пожалуйста, обращение в ит поддержку на портале support"
не закадровый резервывается задача передать в архив,"создайте, пожалуйста, обращение в ит поддержку на портале support"
не могу вять отпуск,"создайте, пожалуйста, обращение в ит поддержку на портале support"
не активна кнопка выполнено в личный кабинет.,"просьба очистить кеш/куки с использованием клавиш ctrl + shift + delete. при появлении окошка с настройками в разделе ""за период"" выбрать ""за все время"". далее выйти с личного кабинета с использованием клавиши ""выход"" и авторизоваться повторно введя логин и пароль."
не верно проставлекны часы работы,"создайте, пожалуйста, обращение в ит поддержку на портале support"
не могу устроить сотрудника . не прогружена ставка в личный кабинет. в табеле есть,"создайте, пожалуйста, обращение в ит поддержку на портале support"
не возможности оформит отпуск без сохранения заработной платы у сотрудников,"создайте, пожалуйста, обращение в ит поддержку на портале support"
сотрудник не может создать заявку отпуск за свой счет,"создайте, пожалуйста, обращение в ит поддержку на портале support"
прошу вас вернуть задачу в работу,"создайте, пожалуйста, обращение в ит поддержку на портале support"
"подскажите пожалуйста почему за март у меня в личный кабинет отображается 72 отработанных часа из 160 и указанно,что был перевод на другую должность или магазин при этом в данном периоде у меня переводов не было.","создайте, пожалуйста, обращение в ит поддержку на портале support"
некорректно отображаются остаток к до планированию по отпуску в личный кабинет,"лимиты в личном кабинете отображаются на основании данных в кадровой системе. в процессе планирования, программа считает дни исходя из имеющихся лимитов и может предоставить дни отпуска авансом. на календарный год программа предоставляет лимит 28 дней. период, за который накапливаются лимиты в количестве 28 дней, у каждого сотрудника индивидуальный и считается со дня приема в компанию. за каждый последующий отработанный месяц предоставляется 2.33 дня отпуска. специалистам hr следует проверить данные в 2001ит и в 2006ит, а именно сколько дней было запланировано и использовано в текущем году, есть ли неистраченные лимиты, есть ли продленный лимит на будущее. проверить количество запланированных дней и доступных остатков. посмотреть расчет отпускных дней отпуска на отчетную дату или на конец года можно через транзакцию zhrpa036. так же по существующему алгоритму при планировании отпусков в личном кабинете установлено правило - нельзя планировать более половины всех накопленных дней отпуска в первое полугодие до конца июня. у сотрудника прописано в личном кабинете, что нельзя планировать более 15 дней в первое полугодие."
ошибка при отправке заявки,"создайте, пожалуйста, обращение в ит поддержку на портале support"
расширенный личный кабинет,"создайте, пожалуйста, обращение в ит поддержку на портале support"
не возможно закадровый резервыть задачу в личном кабинете,"создайте, пожалуйста, обращение в ит поддержку на портале support"
не заполнено поле taskid,"создайте, пожалуйста, обращение в ит поддержку на портале support"
убрать зависшую задачу,"создайте, пожалуйста, обращение в ит поддержку на портале support"
не могу закадровый резервыть задачу в личном кабинете. отсутствует кнопка для выполнения-закадровый резервытия задачи,"создайте, пожалуйста, обращение в ит поддержку на портале support"
нужно изменить номер телефона у сотрудника на действующий. в личном кабинете не могу создать заявку на сотрудника. сотрудник трудоустроен со 02.05.2024. смс с логином и паролем не может получить так как номер телефона был указан не верно. нужно изменить на действующий,"создайте, пожалуйста, обращение в ит поддержку на портале support"
"кадровый резерв на позицию директора магазина, нет этой вкладки","создайте, пожалуйста, обращение в ит поддержку на портале support"
"сотруднику назначены курсы, а пароль от личного кабинета не прислали. как быть в этой ситуации.","создайте, пожалуйста, обращение в ит поддержку на портале support"
сотрудник не может зайти в личный кабинет.пароли менялись неоднокадровый резерватно.,"при проблемах со входом в личный кабинет, прежде чем создавать заявку в поддержку, убедитесь, что заходите в лк на сайте link указываете актуальные и верные логин и пароль. если вам неизвестен логин, обратитесь к руководителю (дм), он сможет посмотреть ваш логин и сбросить пароль в веб-табеле. для самостоятельного сброса пароля позвоните с вашего мобильного телефона на phone, наберите добавочный номер 10100, нажмите * и подтвердите сброс пароля, нажав #. обновленный пароль отправляется по sms."
при создании заявки на увольнение когда вводишь адрес отправки трудовой договор выдает ошибку,"создайте, пожалуйста, обращение в ит поддержку на портале support"
не приходит заявка из скиллаз в личный кабинет2,"создайте, пожалуйста, обращение в ит поддержку на портале support"
в личный кабинет не выгружается заявка на прием с сайта скиллаз,"создайте, пожалуйста, обращение в ит поддержку на портале support"
"при формировании заявления на увольнение сотрудника,на странице высвечивается ""что то сломалось""","создайте, пожалуйста, обращение в ит поддержку на портале support"
в личный кабинет не падает заявка на оформление сотрудника через skillz,"создайте, пожалуйста, обращение в ит поддержку на портале support"
не выгружается заявка на прием,"создайте, пожалуйста, обращение в ит поддержку на портале support"
"хотела бы узнать почему у сотрудника в статусе надбавки до сих пор ступень ""специалист"", у сотрудника уже активный стаж 17 месяцев, должна быть ступень ""эксперт""","по данному вопросу вы можете обратиться в кадровую службу, создав заявку ""консультация по hr вопросам"""
"продавец-кассир не может нажать кнопку в разделе моя карьера, якобы уже нажимала","создайте, пожалуйста, обращение в ит поддержку на портале support"
случайный отрудовой договораз от моей карьеры,"создайте, пожалуйста, обращение в ит поддержку на портале support"
не могу провести прием,"создайте, пожалуйста, обращение в ит поддержку на портале support"
расчет сроки,"создайте, пожалуйста, обращение в ит поддержку на портале support"
не формируется документ по заявки,"создайте, пожалуйста, обращение в ит поддержку на портале support"
делегировать заявку,"создайте, пожалуйста, обращение в ит поддержку на портале support"
увольнение с внутреннего совмещения невозможно провести,"создайте, пожалуйста, обращение в ит поддержку на портале support"
"на портале была создана заявка на прием, заявку вернули на уточнение и она теперь не отображается в заявках, нет ни отрудовой договоррытых ни в завершенных,","создайте, пожалуйста, обращение в ит поддержку на портале support"
не подписывается табель т-13 за апрель,"создайте, пожалуйста, обращение в ит поддержку на портале support"
нет возможности подписания табеля,"создайте, пожалуйста, обращение в ит поддержку на портале support"
в задачах при подписании табеля за апрель выдает ошибку 404,"просьба очистить кеш/куки с использованием клавиш ctrl + shift + delete. при появлении окошка с настройками в разделе ""за период"" выбрать ""за все время"". далее выйти с личного кабинета с использованием клавиши ""выход"" и авторизоваться повторно введя логин и пароль."
проблема с увольнением сотрудника,"создайте, пожалуйста, обращение в ит поддержку на портале support"
"в документы для передачи в архив распечатываются не заполненными, карточка гражданина , подлежащего воинскому учету(форма10) на данный момент проблема во вкладке передать в архив","создайте, пожалуйста, обращение в ит поддержку на портале support"
что-то сломалось,"создайте, пожалуйста, обращение в ит поддержку на портале support"
в поисковике для оформления совмещения не находит штатного сотрудника.фото во вложении.,"создайте, пожалуйста, обращение в ит поддержку на портале support"
при оформлении сотрудником дм не может втянуть заявление в своем личном кабинете,"создайте, пожалуйста, обращение в ит поддержку на портале support"
сделать заявку на о не корректноц информации в личный кабинет,"создайте, пожалуйста, обращение в ит поддержку на портале support"
"сотрудник уволен 10 апреля , но у него в личный кабинет сейчас упала заявка по переходу этрудовой договор","создайте, пожалуйста, обращение в ит поддержку на портале support"
отсутсвует персональный эмэил,"создайте, пожалуйста, обращение в ит поддержку на портале support"
добрый день. не могу закадровый резервыть заявку скадровый резервин во вложении,"создайте, пожалуйста, обращение в ит поддержку на портале support"
прошу расшифровку премиальной части,"создайте, пожалуйста, обращение в ит поддержку на портале support"
проблема с личный кабинет,"создайте, пожалуйста, обращение в ит поддержку на портале support"
перезначение задач,"создайте, пожалуйста, обращение в ит поддержку на портале support"
в моем отделе сотрудник вышел из декадровый резерветного отпуска. но учетная запись выключена. необходимо активировать учетную запись. сотрудник менял фамилию. предыдущая учетная запись,"создайте, пожалуйста, обращение в ит поддержку на портале support"
"пк работает в настоящее время, в личный кабинет стоит статус - уволена.","по данному вопросу вы можете обратиться в кадровую службу, создав заявку ""консультация по hr вопросам"""
не формируются документы,"создайте, пожалуйста, обращение в ит поддержку на портале support"
"написала заявление за свой счет на 01.05.2024,дк подтвердила,но в табеле не проходит( до),пишет ошибку №404","просьба очистить кеш/куки с использованием клавиш ctrl + shift + delete. при появлении окошка с настройками в разделе ""за период"" выбрать ""за все время"". далее выйти с личного кабинета с использованием клавиши ""выход"" и авторизоваться повторно введя логин и пароль."
как создать заявку на привязку заявок к исполнителям?,"создайте, пожалуйста, обращение в ит поддержку на портале support"
зависла задача в личный кабинет,"создайте, пожалуйста, обращение в ит поддержку на портале support"
не удается прикадровый резервепить сканированные документы в заявку на прием,"создайте, пожалуйста, обращение в ит поддержку на портале support"
не зайти через личный кабинет в итоговый тест. выдает ошибку 404,"просьба очистить кеш/куки с использованием клавиш ctrl + shift + delete. при появлении окошка с настройками в разделе ""за период"" выбрать ""за все время"". далее выйти с личного кабинета с использованием клавиши ""выход"" и авторизоваться повторно введя логин и пароль."
не отрудовой договорликнуться на карьерный рост,"создайте, пожалуйста, обращение в ит поддержку на портале support"
"необходимо перевести сотрудника на 100% на ставку обнуленного сотрудника ,при попытрудовой договоре выбрать выдает ошибку и перебрасывает на поддержку","создайте, пожалуйста, обращение в ит поддержку на портале support"
"действующий сотрудник в личный кабинет в карьере статус уволен, она не оставляла отрудовой договорлик","по данному вопросу вы можете обратиться в кадровую службу, создав заявку ""консультация по hr вопросам"""
личный кабинет не работает в полном обьеме,"создайте, пожалуйста, обращение в ит поддержку на портале support"
при трудоустройстве на срочный договор нет возможности указать дату окончания трудового договора,"создайте, пожалуйста, обращение в ит поддержку на портале support"
"у сотрудника не отображается в моей карьере статус отрудовой договорликнуться, принята в компанию 9 месяцев назад","создайте, пожалуйста, обращение в ит поддержку на портале support"
"в личном кабинете для передачи документов в архив приходит карточка гражданина, подлежащего воинскому учету (форма 10) пустой,не могу передать документы в архив из-за этого","если в документе отсутствует штрихкод, нечитаемые символы, документ не открывается итп, просьба создать заявку в поддержку на support: ит - компьютеры и программы - файлы, ярлыки ms office"
не прогружается сотрудник через слилаз в личный кабинет для трудоустройства,"создайте, пожалуйста, обращение в ит поддержку на портале support"
в личном кабинете нет графы заявка на табель,"создайте, пожалуйста, обращение в ит поддержку на портале support"
отсутствует в личном кабинете возможность выбора процесса отпуск без сохранения заработной платы.,"создайте, пожалуйста, обращение в ит поддержку на портале support"
"я директор стажер, прохожу курсы, первый этап пройден. второй этап не отрудовой договоррывается, по какой причине?","создайте, пожалуйста, обращение в ит поддержку на портале support"
"не отрудовой договоррывается курс, второй этап администратора, не могу пройти обучения?","создайте, пожалуйста, обращение в ит поддержку на портале support"
не отрудовой договоррывается проф тест пк,"создайте, пожалуйста, обращение в ит поддержку на портале support"
я работаю в магазине пятерочка уже более 9 месяцев но в разделе моя карьера текущий статус я числюсь уволен,"по данному вопросу вы можете обратиться в кадровую службу, создав заявку ""консультация по hr вопросам"""
почему не отмечен 4 этап как пройден?,"создайте, пожалуйста, обращение в ит поддержку на портале support"
"в обучении на дмп. все курсы пройдены, а 4 этап не прерывные улучшения не отмечен.","создайте, пожалуйста, обращение в ит поддержку на портале support"
